example_id,dataset,num_claims,supported_rate,unsupported_rate,contradiction_rate,citation_mismatch_rate,missing_citation_rate,citation_precision,citation_recall,retrieval_recall_at_5,avg_latency_ms
ex_001,custom,2,0.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,248559.66869997792
ex_002,custom,2,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,486.37694999342784
ex_003,custom,2,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,515.8784500090405
ex_004,custom,2,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,537.2797999880277
ex_005,custom,2,0.0,0.0,0.5,0.0,0.0,1.0,0.75,1.0,424.2809000425041
ex_006,custom,2,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,474.95520004304126
ex_007,custom,2,0.0,0.0,0.5,0.0,0.0,0.5,0.5,1.0,470.06810002494603
ex_008,custom,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,278.9457000326365
ex_009,custom,2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,304.01695001637563
ex_010,custom,3,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,418.05609994723153
ex_011,custom,2,0.0,0.5,0.5,0.0,0.0,1.0,1.0,1.0,402.003449969925
